y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,label
4,5,8,13,19,26,31,36,39,41,43,46,48,50,51,51,52,52,53,52,52,51,51,50,50,50,50,50,51,51,57
2,8,13,22,30,37,43,49,54,58,61,64,66,67,68,69,69,70,70,70,70,70,70,70,70,71,71,71,71,70,81
8,13,20,29,36,41,46,51,55,59,61,64,66,66,67,67,67,67,67,67,67,68,68,68,68,68,67,67,67,67,82
2,6,12,20,29,37,44,49,54,58,62,65,68,68,69,70,70,71,71,71,71,71,71,71,71,71,71,71,70,69,60
0,2,8,15,23,31,38,42,46,50,54,58,61,63,66,67,67,68,69,69,69,68,68,68,68,68,68,68,67,67,63
5,9,15,21,26,30,32,34,36,37,37,38,39,40,41,41,41,41,40,39,39,39,39,39,39,39,39,39,38,37,55
1,2,4,8,12,16,23,28,33,37,40,42,45,47,49,51,52,52,52,52,52,51,51,51,51,51,51,51,50,50,51
1,4,10,16,20,23,26,30,33,37,40,42,44,46,47,49,50,50,51,51,51,51,51,51,51,51,51,50,50,50,49
1,1,6,12,20,27,33,37,42,46,50,52,55,57,59,60,62,63,64,64,64,64,64,63,63,62,63,63,63,62,79
1,3,7,13,20,27,33,39,47,52,56,58,60,61,62,63,63,64,64,64,64,63,62,62,61,60,60,59,59,59,84
5,7,14,22,29,34,39,43,48,52,55,58,60,62,62,62,62,62,63,63,63,63,63,63,63,63,63,63,63,63,71
4,7,12,18,26,32,38,44,49,54,57,59,61,64,65,65,65,66,67,67,67,67,67,67,67,67,67,66,65,64,74
3,6,11,18,24,31,36,41,45,50,53,57,59,61,62,64,65,66,67,68,68,68,68,69,70,71,71,72,72,72,80
0,1,5,12,19,25,28,31,32,34,36,38,40,42,44,45,46,47,47,47,47,46,46,45,45,45,45,44,43,43,62
3,6,10,15,19,24,30,35,39,42,44,46,48,50,51,51,51,51,51,51,51,51,50,50,50,50,49,49,49,48,55
0,2,6,12,18,25,31,33,36,39,42,45,48,50,52,53,54,54,55,55,55,55,55,55,55,55,55,55,55,55,51
6,10,15,21,27,30,35,39,44,47,51,53,55,56,56,56,57,57,58,58,58,58,58,58,58,58,57,56,56,55,67
5,7,12,18,24,29,33,37,40,45,48,51,53,54,55,56,56,56,56,56,56,56,56,55,54,53,52,51,50,51,57
7,14,21,26,32,38,43,47,51,54,57,59,60,61,62,63,63,63,63,63,63,63,63,63,63,62,62,62,62,61,79
7,8,13,20,26,32,38,43,47,52,58,61,63,65,66,68,68,68,67,67,67,68,68,68,68,68,68,68,68,67,79
28,32,35,39,44,48,52,56,60,64,67,69,70,71,72,72,72,72,72,72,72,72,72,72,72,71,70,69,68,67,72
7,8,11,17,23,29,34,38,40,41,43,44,46,47,48,49,50,49,50,50,50,49,48,47,47,46,45,44,43,42,64
1,3,7,13,19,26,31,36,39,41,41,42,42,43,45,45,45,45,45,45,45,45,44,43,43,43,42,41,40,40,47
2,4,8,15,22,29,34,37,40,41,43,44,47,49,50,50,50,50,50,50,49,49,48,48,47,47,46,46,45,44,48
4,6,9,16,22,29,34,39,42,46,51,54,56,57,58,59,59,59,58,58,57,56,56,56,55,55,54,54,53,53,68
13,16,21,27,34,39,43,46,50,53,56,58,59,59,59,59,58,58,58,58,58,58,58,58,57,56,55,55,55,54,69
2,4,9,15,22,31,38,42,46,50,53,56,59,62,65,65,65,65,66,66,66,66,66,66,66,66,66,66,66,66,76
2,7,11,19,27,36,42,46,51,54,56,60,62,64,65,66,66,67,66,65,65,65,65,65,65,64,64,64,64,63,72
6,11,17,25,33,39,45,50,54,59,62,65,68,68,69,70,70,70,70,70,70,70,71,71,71,71,71,70,70,70,87
9,13,18,23,28,34,38,39,41,42,44,44,45,45,45,45,45,45,44,44,43,42,41,40,40,39,39,38,38,39,75
5,9,16,22,25,28,31,34,36,38,40,42,43,44,45,46,47,47,46,46,45,45,44,43,43,42,41,40,40,40,43
1,3,8,13,18,25,30,35,38,41,42,44,46,48,49,49,50,50,51,51,51,51,51,51,51,51,51,50,50,50,67
4,6,10,17,24,32,38,43,47,50,53,55,57,58,59,60,61,61,61,62,62,62,61,61,62,62,61,60,60,59,78
2,5,8,14,20,24,29,34,38,42,46,50,53,56,58,59,61,62,63,63,63,63,63,62,62,62,61,61,61,60,69
6,10,17,24,30,34,38,41,45,49,52,53,56,58,60,61,62,63,63,64,64,64,64,64,64,64,64,64,64,64,81
9,13,18,25,32,39,44,49,53,57,60,62,63,63,63,63,64,64,64,64,64,64,64,64,64,63,62,61,61,61,79
12,16,22,31,38,45,50,54,58,62,65,67,69,70,71,71,72,72,72,72,71,71,71,71,71,71,71,70,69,68,77
12,15,19,23,27,31,35,38,41,45,46,46,46,47,48,49,49,49,49,49,48,48,48,48,48,47,47,46,45,44,61
10,13,17,21,24,26,29,35,39,43,46,48,50,51,52,52,52,53,54,54,54,54,55,55,55,55,55,54,54,54,59
2,5,10,15,22,27,33,37,40,45,49,51,52,53,53,55,55,55,55,55,55,55,54,55,54,55,55,55,54,54,57
6,12,17,23,28,33,37,42,47,51,54,56,57,58,58,58,58,58,58,58,58,57,57,56,56,55,55,54,54,53,63
7,8,13,20,29,33,37,40,44,47,50,51,53,53,53,53,53,52,53,53,53,52,52,51,51,50,50,49,49,48,49
4,8,14,22,28,33,39,44,49,52,54,56,57,59,61,61,62,62,62,62,62,62,62,61,61,60,60,59,59,58,63
0,1,4,8,17,26,33,38,43,47,51,54,57,58,60,62,64,64,65,65,66,66,69,68,68,68,68,68,68,68,63
6,11,19,28,35,40,44,47,50,53,56,59,61,63,65,65,66,67,68,68,69,68,68,68,68,68,68,68,68,68,64
4,7,12,17,23,28,33,36,38,39,41,42,43,44,46,46,46,45,45,45,45,46,46,46,46,47,47,47,46,45,64
1,3,6,12,18,24,30,35,39,44,47,49,51,54,55,56,56,56,56,56,55,54,53,53,52,51,50,50,49,49,52
1,3,7,14,19,27,32,37,40,43,45,47,50,51,53,53,54,54,55,55,55,55,55,55,55,55,54,54,54,54,60
9,13,18,25,32,37,41,44,46,49,52,54,56,56,56,57,57,57,57,57,57,57,57,56,56,55,55,54,53,52,72
4,5,7,12,18,25,31,35,39,42,45,48,50,52,53,55,57,57,57,57,57,57,58,58,58,58,58,58,58,57,65
8,11,16,23,30,35,39,43,46,49,53,54,56,57,57,58,59,59,59,59,60,60,60,60,60,60,60,60,60,59,79
